Imagen,Hu1_Original,Hu2_Original,Hu3_Original,Hu1_Rotado,Hu2_Rotado,Hu3_Rotado
butterfly-2.png,680121527783.8162,1.2809100574854461e+23,3.433208315402229e+27,680064144438.1731,1.2805890205860365e+23,3.4324616193655547e+27
cattle-3.png,1792536933268.8735,1.5644662035084816e+24,2.9740829581977936e+27,1792538715943.1443,1.5643693490779732e+24,2.975184818473876e+27
confusions.png,819722320458.5459,4.934269154631643e+22,3.880062267948686e+24,499286337259.31226,3.006499339386401e+22,3.0697280732080605e+24
deer-4.png,2208921893461.957,1.2891212318848395e+24,2.6006375276632102e+28,2208964861375.035,1.2890442073557263e+24,2.6009609065022965e+28
dog-7.png,317444904551.3179,1.8232277175844607e+22,8.555061591698276e+26,272870154137.08194,1.974149554292442e+22,3.073347584897073e+26
elephant-4.png,2597399098239.223,9.373907761417698e+23,2.470424960638666e+28,2597106312207.8486,9.373270552258258e+23,2.468909531168157e+28
guitar-3.png,468094115317.26624,1.5248878412057665e+23,3.3123939705263557e+27,116048683628.40195,4.567863983207095e+21,8.77129178057686e+25
lizzard-19.png,929340681273.5425,5.69316931124619e+23,2.9238022046962924e+27,929338897000.7954,5.693039207350228e+23,2.923377320738685e+27
pocket-11.png,549403660947.3237,2.897628237463561e+22,1.3338090971924687e+27,417809201350.35016,2.168663483446554e+22,3.022713980910121e+26
shapedata.png,1169821330709.0703,1.2329028459415673e+23,1.2824253005091527e+25,689125841085.3295,6.024057012797221e+22,1.0318489637765417e+25
